,pf_close,gd_close
318,11.597,3.586
319,11.627,3.586
320,12.796,3.576
321,12.707,3.595
322,12.707,3.586
323,12.786,3.586
324,12.756,3.586
325,12.716,3.595
326,12.667,3.613
327,12.707,3.623
328,12.707,3.688
329,12.796,3.678
330,12.647,3.66
331,12.459,3.623
332,12.33,3.586
333,12.251,3.576
334,12.222,3.576
335,12.271,3.632
336,12.162,3.595
337,12.212,3.697
338,12.439,3.688
339,12.509,3.706
340,12.509,3.725
341,12.568,3.743
342,12.657,3.688
343,12.627,3.678
344,12.518,3.688
345,12.429,3.688
346,12.42,3.706
347,12.489,3.688
348,12.528,3.678
349,12.469,3.669
350,12.4,3.651
351,12.667,3.651
352,12.726,3.669
353,13.132,3.669
354,13.449,3.678
355,13.617,3.706
356,13.409,3.716
357,13.548,3.706
358,13.478,3.734
359,13.31,3.753
360,13.528,3.762
361,13.37,3.762
362,13.241,3.753
363,13.241,3.743
364,13.33,3.762
365,13.221,3.781
366,13.29,3.762
367,13.3,3.772
368,12.944,3.829
369,12.736,3.877
370,12.796,3.924
371,12.736,3.981
372,12.627,4.124
373,12.657,4.096
374,12.548,4.096
375,12.429,4.115
376,12.459,4.058
377,12.36,4.067
378,12.4,4.067
379,12.38,4.086
380,12.38,4.039
381,12.301,4.029
382,12.439,4.029
383,12.34,4.058
384,12.647,4.096
385,12.756,4.048
386,12.825,3.991
387,12.736,3.981
388,12.578,3.981
389,12.637,3.934
390,12.647,3.915
391,12.895,3.905
392,12.825,3.877
393,12.716,3.896
394,12.895,3.867
395,12.855,3.905
396,12.904,3.905
397,12.736,3.886
398,12.716,3.896
399,12.697,3.915
400,12.776,3.877
401,12.766,4.01
402,12.746,4.039
403,12.736,4.077
404,12.756,4.029
405,12.805,4.001
406,12.726,3.953
407,12.716,4.01
408,12.707,4.029
409,12.736,4.001
410,12.904,3.972
411,12.964,3.953
412,12.924,3.962
413,12.914,3.972
414,12.805,3.943
415,12.904,3.934
416,12.855,3.915
417,12.934,3.896
418,12.993,3.905
419,12.875,3.896
420,12.707,3.924
421,12.726,3.924
422,12.766,3.924
423,12.687,3.905
424,12.716,3.886
425,12.568,3.877
426,12.479,3.858
427,12.41,3.905
428,12.4,3.905
429,12.449,3.915
430,12.34,3.905
431,12.41,3.905
432,12.449,3.934
433,12.42,3.915
434,12.499,3.934
435,12.667,3.943
436,12.469,3.915
437,12.469,3.867
438,12.261,3.877
439,12.647,3.877
440,12.716,3.867
441,12.805,3.877
442,13.092,3.858
443,12.924,3.848
444,12.954,3.839
445,12.964,3.839
446,12.805,3.839
447,12.805,3.81
448,12.776,3.858
449,12.776,3.858
450,12.786,3.829
451,13.033,3.81
452,12.825,3.867
453,12.825,3.839
454,12.796,3.829
455,12.835,3.82
456,12.617,3.896
457,12.608,3.915
458,12.558,3.915
459,12.489,4.029
460,12.518,3.981
461,12.617,3.981
462,12.598,3.981
463,12.568,3.943
464,12.489,3.934
465,12.459,3.981
466,12.509,3.981
467,12.489,3.981
468,12.41,4.048
469,12.459,4.01
470,12.588,4.001
471,12.528,3.972
472,12.528,3.972
473,12.558,3.924
474,12.548,3.953
475,12.568,3.924
476,12.885,3.867
477,12.805,3.858
478,12.776,3.896
479,12.885,3.886
480,12.766,3.886
481,12.964,3.867
482,13.102,3.867
483,13.102,3.896
484,12.637,3.877
485,12.766,3.858
486,13.429,3.858
487,13.508,3.886
488,13.271,3.915
489,13.32,3.905
490,12.974,3.924
491,13.033,3.934
492,13.162,3.905
493,13.003,3.934
494,13.35,3.953
495,13.34,3.962
496,13.31,4.01
497,12.964,4.01
498,12.647,4.067
499,12.36,4.124
500,12.38,4.229
501,12.33,4.267
502,12.499,4.572
503,12.588,4.572
504,12.598,4.553
505,12.558,4.582
506,12.33,4.524
507,12.34,4.382
508,12.281,4.448
509,12.291,4.505
510,12.36,4.458
511,12.36,4.753
512,12.34,4.686
513,12.35,4.524
514,12.37,4.315
515,12.36,4.191
516,12.261,4.086
517,12.261,4.115
518,12.172,4.115
519,12.182,4.201
520,12.192,4.267
521,12.162,4.258
522,12.123,4.172
523,11.588,4.105
524,11.489,4.115
525,11.499,4.067
526,11.45,4.077
527,11.499,4.115
528,11.529,4.096
529,11.588,4.105
530,11.44,4.096
531,11.41,4.086
532,11.38,4.086
533,11.648,4.048
534,11.786,4.039
535,11.658,3.991
536,11.568,3.991
537,11.43,4.001
538,11.43,4.001
539,11.608,4.001
540,11.677,3.991
541,11.489,3.886
542,11.479,3.867
543,11.658,3.867
544,11.539,3.905
545,11.45,3.886
546,11.489,3.867
547,10.915,3.839
548,10.806,3.839
549,10.717,3.848
550,10.727,3.924
551,10.836,3.962
552,10.816,3.924
553,10.836,3.877
554,10.836,3.801
555,10.886,3.781
556,10.876,3.801
557,10.757,3.81
558,10.717,3.791
559,10.787,3.791
560,10.826,3.858
561,10.767,3.82
562,10.688,3.82
563,10.678,3.848
564,10.599,3.829
565,10.648,3.839
566,10.529,3.829
567,10.331,3.839
568,10.44,3.886
569,10.569,3.886
570,10.638,3.896
571,10.549,3.905
572,10.44,3.924
573,10.51,3.905
574,10.312,3.858
575,10.312,3.848
576,10.242,3.886
577,10.104,3.896
578,10.114,3.877
579,10.193,3.839
580,9.817,3.829
581,9.787,3.829
582,9.728,3.81
583,9.659,3.829
584,9.461,3.762
585,9.381,3.781
586,9.273,3.781
587,9.401,3.801
588,9.461,3.791
589,9.193,3.772
590,9.253,3.772
591,9.213,3.715
592,9.164,3.705
593,9.273,3.705
594,9.5,3.686
595,9.471,3.686
596,9.282,3.705
597,9.471,3.715
598,9.49,3.667
599,9.41,3.648
600,9.44,3.639
601,9.51,3.591
602,9.56,3.524
603,9.87,3.467
604,9.96,3.448
605,10.02,3.486
606,10.02,3.343
607,9.96,3.362
608,9.99,3.362
609,10.13,3.41
610,10.17,3.41
611,9.91,3.505
612,9.79,3.486
613,9.83,3.448
614,9.91,3.505
615,10.11,3.496
616,10.05,3.439
617,10.14,3.439
618,10.07,3.439
619,9.98,3.429
620,10.06,3.553
621,9.9,3.61
622,10.06,3.648
623,9.98,3.658
624,10.15,3.61
625,10.12,3.63
626,10.09,3.66
627,10.07,3.67
628,10.3,3.61
629,10.33,3.53
630,10.3,3.56
631,10.32,3.56
632,10.17,3.61
633,10.33,3.57
634,10.24,3.61
635,10.37,3.59
636,10.12,3.56
637,10.14,3.55
638,10.19,3.48
639,10.18,3.49
640,10.02,3.45
641,10.04,3.5
642,10.29,3.53
643,10.26,3.53
644,10.15,3.55
645,10.26,3.63
646,10.24,3.7
647,10.22,3.7
648,10.49,3.68
649,10.35,3.67
650,10.41,3.73
651,10.48,3.7
652,10.62,3.76
653,10.16,3.7
654,10.15,3.72
655,10.17,3.73
656,9.8,3.72
657,10.03,3.7
658,10.03,3.73
659,10.05,3.78
660,10.29,3.77
661,10.19,3.77
662,10.38,3.82
663,10.62,3.82
664,10.45,3.88
665,10.74,3.93
666,10.84,3.9
667,10.92,3.89
668,10.79,3.89
669,10.95,3.91
670,10.98,3.81
671,10.89,3.78
672,11.18,3.84
673,11.14,3.71
674,11.03,3.8
675,10.9,3.8
676,11.06,3.8
677,10.75,3.89
678,10.8,3.77
679,10.82,3.92
680,10.7,4.02
681,10.77,3.94
682,10.76,4.0
683,10.88,4.05
684,10.69,4.0
685,10.66,3.96
686,10.64,4.06
687,10.5,4.01
688,10.5,4.0
689,10.49,4.03
690,10.58,3.97
691,10.63,3.96
692,10.71,3.95
693,11.02,3.97
694,11.08,3.84
695,11.0,3.84
696,10.9,3.85
697,10.89,3.82
698,10.83,3.85
699,10.72,3.86
700,10.73,3.93
701,10.8,3.88
702,10.62,3.88
703,10.78,3.85
704,10.57,3.8
705,10.54,3.83
706,10.25,3.83
707,10.07,3.84
708,9.91,3.81
709,9.79,3.85
710,9.67,3.91
711,9.66,3.94
712,9.8,3.91
713,9.7,3.87
714,9.81,3.85
715,9.96,3.81
716,9.98,3.81
717,9.96,3.82
718,9.99,3.85
719,9.96,3.81
720,10.05,3.83
721,10.06,3.79
722,10.11,3.78
723,10.13,3.7
724,10.17,3.65
725,10.43,3.64
726,10.35,3.63
727,10.25,3.64
728,10.27,3.65
729,10.38,3.7
730,10.5,3.65
731,10.42,3.75
732,10.58,3.84
733,10.5,3.84
734,10.73,3.82
735,10.77,3.87
736,10.7,3.84
737,10.72,3.87
738,10.86,3.86
739,10.82,3.9
740,10.66,3.92
741,10.84,3.9
742,10.8,3.95
743,10.83,3.97
744,10.79,3.89
745,11.01,3.91
746,11.92,3.89
747,11.65,3.98
748,11.83,3.94
749,11.74,4.0
750,12.02,3.99
751,12.02,4.09
752,11.98,4.07
753,12.02,4.09
754,11.88,4.04
755,11.5,4.07
756,11.47,4.05
757,11.44,3.99
758,11.44,4.02
759,11.46,4.03
760,11.43,4.05
761,11.59,4.02
762,11.55,4.06
763,11.55,4.29
764,11.46,4.17
765,11.39,4.26
766,11.03,4.23
767,11.09,4.4
768,11.08,4.49
769,11.03,4.47
770,11.28,4.48
771,11.44,4.36
772,11.44,4.17
773,11.5,4.17
774,11.71,4.18
775,11.72,4.16
776,11.54,4.13
777,11.48,4.13
778,11.47,4.22
779,11.49,4.18
780,11.47,4.18
781,11.95,4.14
782,11.91,4.11
783,11.91,4.02
784,12.01,4.0
785,11.71,4.02
786,11.7,4.0
787,11.62,4.1
788,11.54,4.16
789,11.32,4.15
790,11.48,4.17
791,11.97,4.23
792,11.8,4.26
793,11.8,4.24
794,11.51,4.17
795,11.12,4.13
796,11.32,4.14
797,11.31,4.17
798,11.21,4.34
799,11.32,4.38
800,11.3,4.31
801,11.24,4.32
802,11.34,4.22
803,11.32,4.24
804,11.16,4.23
805,11.1,4.19
806,11.11,4.09
807,11.22,4.17
808,11.29,4.17
809,11.12,4.04
810,11.11,4.04
811,11.13,3.98
812,11.28,3.92
813,11.35,3.96
814,11.41,3.91
815,11.47,3.88
816,11.61,3.9
817,11.42,3.91
818,11.6,3.87
819,11.7,3.88
820,11.79,3.91
821,11.77,3.9
822,11.82,3.87
823,11.88,3.86
824,12.2,3.89
825,12.09,3.92
826,12.03,3.87
827,11.66,3.88
828,11.66,3.84
829,11.64,3.89
830,11.68,3.9
831,11.71,3.92
832,11.61,3.92
833,11.56,3.94
834,11.62,3.97
835,11.57,3.98
836,11.36,3.96
837,11.37,3.94
838,11.35,3.96
839,11.4,3.97
840,11.52,4.0
841,11.5,4.04
842,11.55,4.03
843,11.48,4.05
844,11.49,4.02
845,11.58,3.83
846,11.48,3.83
847,11.49,3.81
848,11.59,3.85
849,11.88,3.85
850,11.87,3.87
851,11.86,3.87
852,11.86,3.86
853,11.87,3.79
854,11.65,3.77
855,11.48,3.78
856,11.24,3.77
857,11.09,3.8
858,11.07,3.8
859,11.26,3.8
860,11.37,3.78
861,11.43,3.76
862,11.33,3.78
863,11.28,3.79
864,11.29,3.8
865,11.22,3.81
866,11.38,3.85
867,11.37,3.87
868,11.41,3.94
869,11.43,3.95
870,11.59,3.93
871,11.3,3.92
872,11.3,3.86
873,11.32,3.79
874,11.23,3.73
875,11.28,3.7
876,11.34,3.76
877,11.35,3.77
878,11.49,3.77
879,11.62,3.73
880,11.69,3.79
881,11.75,3.79
882,11.85,3.77
883,11.95,3.75
884,12.0,3.72
885,11.93,3.74
886,11.81,3.72
887,11.93,3.71
888,11.94,3.67
889,11.95,3.67
890,11.75,3.69
891,11.75,3.75
892,11.81,3.76
893,11.97,3.78
894,11.9,3.76
895,11.84,3.84
896,11.9,3.94
897,11.99,3.97
898,11.96,3.96
899,12.45,3.95
900,12.94,3.95
901,13.09,3.99
902,13.08,3.97
903,13.17,3.95
904,12.78,3.97
905,12.91,3.98
906,12.93,3.96
907,12.86,3.92
908,13.09,3.9
909,12.9,3.93
910,12.7,4.09
911,12.77,4.02
912,12.59,3.94
913,12.51,4.09
914,12.75,4.23
915,12.74,4.26
916,12.95,4.31
917,12.92,4.6
918,12.76,4.62
919,12.57,4.55
920,12.29,4.49
921,12.24,4.41
922,12.23,4.48
923,12.14,4.46
924,12.15,4.46
925,12.24,4.5
926,12.23,4.48
927,12.04,4.46
928,11.96,4.46
929,11.99,4.5
930,12.07,4.34
931,12.06,4.5
932,11.99,4.54
933,11.96,4.67
934,11.91,4.56
935,11.87,4.5
936,11.86,4.46
937,11.75,4.34
938,11.89,4.33
939,11.92,4.33
940,11.9,4.3
941,11.86,4.25
942,11.98,4.36
943,11.9,4.33
944,12.12,4.22
945,12.13,4.21
946,12.39,4.18
947,12.4,4.26
948,12.41,4.23
949,12.42,4.2
950,12.2,4.18
951,12.28,4.13
952,12.24,4.19
953,12.29,4.19
954,12.32,4.15
955,12.34,4.21
956,12.37,4.19
957,12.37,4.17
958,12.37,4.16
959,12.37,4.32
960,12.37,4.31
961,12.37,4.41
962,12.37,4.39
963,12.37,4.49
964,12.37,4.48
965,12.37,4.48
966,12.37,4.43
967,12.37,4.39
968,12.37,4.38
969,12.37,4.37
970,12.37,4.43
971,12.37,4.44
972,12.37,4.39
973,12.37,4.41
